origin,timestamp,on_tour,code
SEP0334,01/24/2014 07:03:34,,HL
SEP0335,01/24/2014 07:03:39,,HL
SEP0336,01/24/2014 07:03:47,,AEMX3 FAV
SEP0337,01/24/2014 07:04:11,,HS BAEM D
SEP0338,01/24/2014 07:04:26,,SAS
SEP0339,01/24/2014 07:04:35,,RABFN
SEP0340,01/24/2014 07:04:50,,HFXF POD
SEP0341,01/24/2014 07:05:23,,AEMNC D
SEP0342,01/24/2014 07:05:28,,YFFXF
SEP0343,01/24/2014 07:05:28,,XAAFN
SEP0344,01/24/2014 07:05:29,,RAAFN
SEP0345,01/24/2014 07:05:32,,XCCNC
SEP0346,01/24/2014 07:05:40,,RABNC
SEP0347,01/24/2014 07:05:42,,RVTNC SC
SEP0348,01/24/2014 07:05:54,,RAANC
SEP0349,01/24/2014 07:06:02,,SPX
SEP0350,01/24/2014 07:06:14,,RVTNC SC
SEP0351,01/24/2014 07:06:20,,RLANC
SEP0352,01/24/2014 07:06:23,,FPCNC
SEP0353,01/24/2014 07:06:25,,FAANC
SEP0354,01/24/2014 07:06:27,,FLAFN
SEP0355,01/24/2014 07:06:32,,MPWNC
SEP0356,01/24/2014 07:06:38,,MPBNC
SEP0357,01/24/2014 07:06:58,,RLANC
SEP0358,01/24/2014 07:07:02,,RABXX
SEP0359,01/24/2014 07:07:06,,MPWXX
SEP0360,01/24/2014 07:07:11,,FLAXX
SEP0361,01/24/2014 07:07:23,,FAAXX
SEP0362,01/24/2014 07:07:26,,RLBNC
SEP0363,01/24/2014 07:07:29,,AVB
SEP0364,01/24/2014 07:07:35,,MPWXX
SEP0365,01/24/2014 07:07:36,,FAAFN
SEP0366,01/24/2014 07:07:38,,MPWFN
SEP0367,01/24/2014 07:07:51,,YSP
SEP0368,01/24/2014 07:07:53,,XHHFNXX
SEP0369,01/24/2014 07:07:55,,XCNC
SEP0370,01/24/2014 07:08:06,,XCCOP
IGO0024,01/24/2014 07:08:09,,CL ANNIGO CLIFF
SEP0371,01/24/2014 07:08:10,,RABOP
SEP0372,01/24/2014 07:08:22,,RLAXX
SEP0373,01/24/2014 07:08:37,,RLBOP
SEP0374,01/24/2014 07:08:39,,MPWFN
SEP0375,01/24/2014 07:08:45,,MPPFN
SEP0376,01/24/2014 07:08:50,,RPUFN
SEP0377,01/24/2014 07:09:04,,MPKFN
SEP0378,01/24/2014 07:09:38,,MPWFN
